Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,,Opposition,Ground,Start Date,
TG Southee,10.0,2,47,1,4.70,47.00,60.0,,ODI v West Indies,Bridgetown,21 Aug 2022,ODI # 4456
TG Southee,10.0,0,39,1,3.90,39.00,60.0,,ODI v Australia,Cairns,8 Sep 2022,ODI # 4462
TG Southee,10.0,1,57,1,5.70,57.00,60.0,,ODI v Australia,Cairns,11 Sep 2022,ODI # 4464
TG Southee,4.0,0,24,1,6.00,24.00,24.0,,T20I v Pakistan,Christchurch,8 Oct 2022,T20I # 1809
TG Southee,4.0,0,34,2,8.50,17.00,12.0,,T20I v Bangladesh,Christchurch,9 Oct 2022,T20I # 1811
TG Southee,4.0,0,31,2,7.75,15.50,12.0,,T20I v Pakistan,Christchurch,11 Oct 2022,T20I # 1815
TG Southee,4.0,0,36,2,9.00,18.00,12.0,,T20I v Bangladesh,Christchurch,12 Oct 2022,T20I # 1816
TG Southee,4.0,0,33,1,8.25,33.00,24.0,,T20I v Pakistan,Christchurch,14 Oct 2022,T20I # 1819
TG Southee,2.1,0,6,3,2.76,2.00,4.3,,T20I v Australia,Sydney,22 Oct 2022,T20I # 1839
TG Southee,4.0,1,12,1,3.00,12.00,24.0,,T20I v Sri Lanka,Sydney,29 Oct 2022,T20I # 1850
TG Southee,4.0,0,43,1,10.75,43.00,24.0,,T20I v England,Brisbane,1 Nov 2022,T20I # 1858
TG Southee,4.0,0,29,2,7.25,14.50,12.0,,T20I v Ireland,Adelaide,4 Nov 2022,T20I # 1862
TG Southee,3.1,0,24,0,7.57,-,-,,T20I v Pakistan,Sydney,9 Nov 2022,T20I # 1877
TG Southee,4.0,0,34,3,8.50,11.33,8.0,,T20I v India,Mount Maunganui,20 Nov 2022,T20I # 1898
TG Southee,3.0,0,27,2,9.00,13.50,9.0,,T20I v India,Napier,22 Nov 2022,T20I # 1911
TG Southee,10.0,0,73,3,7.30,24.33,20.0,,ODI v India,Auckland,25 Nov 2022,ODI # 4483
TG Southee,3.0,0,12,0,4.00,-,-,,ODI v India,Hamilton,27 Nov 2022,ODI # 4487
TG Southee,8.3,1,36,2,4.23,18.00,25.5,,ODI v India,Christchurch,30 Nov 2022,ODI # 4489
TG Southee,40.5,9,108,3,2.64,36.00,81.6,,Test v Pakistan,Karachi,26 Dec 2022,Test # 2486
