Player,Bat1,Bat2,Runs,BF,SR,4s,6s,,Opposition,Ground,Start Date,temp,humidity,windspeed
Combined Test,89,-,89,87,102.29,7,2,,ODI v Australia,Sydney,29 Nov 2020,85.6,43.5,4.4
Combined Test,63,-,63,78,80.76,5,0,,ODI v Australia,Canberra,2 Dec 2020,65.6,53.3,19.7
Combined Test,9,-,9,9,100.00,1,0,,T20I v Australia,Canberra,4 Dec 2020,64.5,50.5,22.3
Combined Test,40,-,40,24,166.66,2,2,,T20I v Australia,Sydney,6 Dec 2020,76.9,47.7,2.6
Combined Test,85,-,85,61,139.34,4,3,,T20I v Australia,Sydney,8 Dec 2020,66.6,47.1,2.8
Combined Test,74,4,78,188,41.48,9,0,,Test v Australia,Adelaide,17 Dec 2020,60.6,66.2,17.7
Combined Test,11,72,83,152,54.60,9,0,,Test v England,Chennai,5 Feb 2021,77.1,65.5,13.9
Combined Test,0,62,62,154,40.25,7,0,,Test v England,Chennai,13 Feb 2021,76.8,69.3,11.4
Combined Test,27,DNB,27,58,46.55,3,0,,Test v England,Ahmedabad,24 Feb 2021,78.5,46.7,8.3
Combined Test,0,-,0,8,0.00,0,0,,Test v England,Ahmedabad,4 Mar 2021,79.1,39.4,9.2
Combined Test,0,-,0,5,0.00,0,0,,T20I v England,Ahmedabad,12 Mar 2021,83.7,41.0,9.2
Combined Test,73*,-,73,49,148.97,5,3,,T20I v England,Ahmedabad,14 Mar 2021,84.6,26.4,10.3
Combined Test,77*,-,77,46,167.39,8,4,,T20I v England,Ahmedabad,16 Mar 2021,87.4,26.0,9.2
Combined Test,1,-,1,5,20.00,0,0,,T20I v England,Ahmedabad,18 Mar 2021,85.3,36.8,9.2
Combined Test,80*,-,80,52,153.84,7,2,,T20I v England,Ahmedabad,20 Mar 2021,86.4,34.7,4.7
Combined Test,56,-,56,60,93.33,6,0,,ODI v England,Pune,23 Mar 2021,81.4,49.6,11.0
Combined Test,66,-,66,79,83.54,3,1,,ODI v England,Pune,26 Mar 2021,83.7,30.9,10.5
Combined Test,7,-,7,10,70.00,1,0,,ODI v England,Pune,28 Mar 2021,84.3,32.9,6.9
Combined Test,44,13,57,161,35.40,1,0,,Test v New Zealand,Southampton,18 Jun 2021,57.4,93.6,16.2
Combined Test,0,DNB,0,1,0.00,0,0,,Test v England,Nottingham,4 Aug 2021,63.0,70.5,8.2
Combined Test,42,20,62,134,46.26,7,0,,Test v England,Lord's,12 Aug 2021,45.9,70.4,15.9
Combined Test,7,55,62,142,43.66,9,0,,Test v England,Leeds,25 Aug 2021,59.4,85.3,8.9
