Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Ground,Start Date,temp,humidity,windspeed,conditions,format,opposition
R Ashwin,9,0,38,1,4.22,38,54,Perth,6 Mar 2015,76.3,49.9,17.2,Clear,ODI,West Indies
R Ashwin,10,1,38,2,3.8,19,30,Hamilton,10 Mar 2015,34.8,77.2,5.1,Partially cloudy,ODI,Ireland
R Ashwin,10,0,75,1,7.5,75,60,Auckland,14 Mar 2015,69.2,77.6,16.2,Rain,ODI,Zimbabwe
R Ashwin,10,1,30,0,3,-,-,Melbourne,19 Mar 2015,71.4,61.1,30.5,"Rain, Partially cloudy",ODI,Bangladesh
R Ashwin,10,0,42,1,4.2,42,60,Sydney,26 Mar 2015,71.3,53.2,17.4,Partially cloudy,ODI,Australia
R Ashwin,31,8,95,5,3.06,19,37.2,Fatullah,10 Jun 2015,100.9,28.5,17,Partially cloudy,Test,Bangladesh
R Ashwin,10,0,51,3,5.1,17,20,Mirpur,18 Jun 2015,86.4,76.5,11.9,"Rain, Partially cloudy",ODI,Bangladesh
R Ashwin,10,2,32,1,3.2,32,60,Mirpur,21 Jun 2015,85.6,79.5,14.1,"Rain, Partially cloudy",ODI,Bangladesh
R Ashwin,10,1,35,2,3.5,17.5,30,Mirpur,24 Jun 2015,83.5,89.1,14.1,"Rain, Partially cloudy",ODI,Bangladesh
R Ashwin,42,8,160,10,3.8,16,25.2,Galle,12 Aug 2015,74.1,66.3,10,Partially cloudy,Test,Sri Lanka
R Ashwin,45,9,118,7,2.62,16.85,38.5,Colombo (PSS),20 Aug 2015,N/A,N/A,N/A,N/A,Test,Sri Lanka
R Ashwin,28,3,102,4,3.64,25.5,42,Colombo (SSC),28 Aug 2015,N/A,N/A,N/A,N/A,Test,Sri Lanka
R Ashwin,4,0,26,1,6.5,26,24,Dharamsala,2 Oct 2015,82.5,77.8,7.4,Partially cloudy,T20I,South Africa
R Ashwin,4,0,24,3,6,8,8,Cuttack,5 Oct 2015,83.5,81,7.4,"Rain, Partially cloudy",T20I,South Africa
R Ashwin,4.4,0,14,1,3,14,28,Kanpur,11 Oct 2015,85.2,48.9,7.4,Clear,ODI,South Africa
R Ashwin,38,10,90,8,2.36,11.25,28.5,Mohali,5 Nov 2015,72.9,55.1,6.3,"Rain, Partially cloudy",Test,South Africa
R Ashwin,18,2,70,4,3.88,17.5,27,Bengaluru,14 Nov 2015,71.8,81.8,9.2,"Rain, Partially cloudy",Test,South Africa
R Ashwin,46,13,98,12,2.13,8.16,23,Nagpur,25 Nov 2015,76.5,54.8,7.2,Partially cloudy,Test,South Africa
R Ashwin,62.4,31,87,7,1.38,12.42,53.7,Delhi,3 Dec 2015,63.6,69.7,11.4,Clear,Test,South Africa
R Ashwin,9,0,68,2,7.55,34,27,Perth,12 Jan 2016,71.3,66.8,17.4,"Rain, Partially cloudy",ODI,Australia
R Ashwin,10,0,60,0,6,-,-,Brisbane,15 Jan 2016,77.5,67.7,17.2,Partially cloudy,ODI,Australia
R Ashwin,4,0,28,2,7,14,12,Adelaide,26 Jan 2016,72.8,48.3,17.2,Partially cloudy,T20I,Australia
R Ashwin,4,0,27,1,6.75,27,24,Melbourne,29 Jan 2016,60.4,86.9,6.2,"Rain, Partially cloudy",T20I,Australia
R Ashwin,4,0,36,1,9,36,24,Sydney,31 Jan 2016,76.3,63.4,14.3,"Rain, Partially cloudy",T20I,Australia
R Ashwin,3,0,13,2,4.33,6.5,9,Pune,9 Feb 2016,74.2,52.4,8.7,Clear,T20I,Sri Lanka
R Ashwin,4,0,14,3,3.5,4.66,8,Ranchi,12 Feb 2016,71.8,44.7,6.9,Clear,T20I,Sri Lanka
R Ashwin,4,1,8,4,2,2,6,Visakhapatnam,14 Feb 2016,79.7,74.3,11.9,Clear,T20I,Sri Lanka
