Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Ground,Start Date,temp,humidity,windspeed,conditions,format,opposition
R Ashwin,8.1,1,24,2,2.93,12,24.5,Cape Town,5 Jan 2018,70.3,70.5,27.7,Partially cloudy,Test,South Africa
R Ashwin,68.2,16,191,5,2.79,38.2,82,Centurion,13 Jan 2018,78.9,74.3,12.5,"Rain, Partially cloudy",Test,South Africa
R Ashwin,19.4,4,59,5,3,11.8,23.6,Bengaluru,14 Jun 2018,74.1,84.5,16.3,"Rain, Partially cloudy",Test,Afghanistan
R Ashwin,47,11,121,7,2.57,17.28,40.2,Birmingham,1 Aug 2018,63.8,68.3,10.2,Partially cloudy,Test,England
R Ashwin,17,1,68,0,4,-,-,Lord's,9 Aug 2018,44.2,69.8,9.9,Partially cloudy,Test,England
R Ashwin,23.5,8,47,1,1.97,47,143,Nottingham,18 Aug 2018,65.2,73.6,14.3,Partially cloudy,Test,England
R Ashwin,51.5,10,124,3,2.39,41.33,103.6,Southampton,30 Aug 2018,58.5,67.3,6.7,Partially cloudy,Test,England
R Ashwin,29,4,108,6,3.72,18,29,Rajkot,4 Oct 2018,85.6,56.8,9.2,Rain,Test,West Indies
R Ashwin,34.2,11,73,3,2.12,24.33,68.6,Hyderabad,12 Oct 2018,78.4,63.6,14.4,Partially cloudy,Test,West Indies
R Ashwin,86.5,22,149,6,1.71,24.83,86.8,Adelaide,6 Dec 2018,86,19.3,13.9,Partially cloudy,Test,Australia
R Ashwin,66.2,16,189,8,2.84,23.62,49.7,Visakhapatnam,2 Oct 2019,82.4,85.5,14.1,"Rain, Partially cloudy",Test,South Africa
R Ashwin,49.4,15,114,6,2.29,19,49.6,Pune,10 Oct 2019,75.3,86.1,8.9,"Rain, Partially cloudy",Test,South Africa
R Ashwin,22,4,76,1,3.45,76,132,Ranchi,19 Oct 2019,73.9,88.6,5.8,"Rain, Partially cloudy",Test,South Africa
R Ashwin,30.2,7,85,5,2.8,17,36.4,Indore,14 Nov 2019,70.6,75.1,11.6,Partially cloudy,Test,Bangladesh
R Ashwin,5,0,19,0,3.8,-,-,Eden Gardens,22 Nov 2019,81.6,83.7,8.1,"Rain, Partially cloudy",Test,Bangladesh
R Ashwin,29,1,99,3,3.41,33,58,Wellington,21 Feb 2020,67.7,82.8,27.7,"Rain, Partially cloudy",Test,New Zealand
R Ashwin,24,4,71,5,2.95,14.2,28.8,Adelaide,17 Dec 2020,60.6,66.2,17.7,Partially cloudy,Test,Australia
R Ashwin,61.1,13,106,5,1.73,21.2,73.4,Melbourne,26 Dec 2020,66,63.1,8.5,Clear,Test,Australia
R Ashwin,49,2,169,2,3.44,84.5,147,Sydney,7 Jan 2021,67.8,74.8,2.4,"Rain, Partially cloudy",Test,Australia
R Ashwin,72.4,7,207,9,2.84,23,48.4,Chennai,5 Feb 2021,77.1,65.5,13.9,Partially cloudy,Test,England
R Ashwin,41.5,9,96,8,2.29,12,31.3,Chennai,13 Feb 2021,76.8,69.3,11.4,Partially cloudy,Test,England
R Ashwin,31,9,74,7,2.38,10.57,26.5,Ahmedabad,24 Feb 2021,78.5,46.7,8.3,Clear,Test,England
R Ashwin,42.4,8,94,8,2.2,11.75,32,Ahmedabad,4 Mar 2021,79.1,39.4,9.2,Clear,Test,England
R Ashwin,25,10,45,4,1.8,11.25,37.5,Southampton,18 Jun 2021,57.4,93.6,16.2,"Rain, Partially cloudy",Test,New Zealand
R Ashwin,4,0,14,2,3.5,7,12,Abu Dhabi,3 Nov 2021,84.3,72.5,11.7,Partially cloudy,T20I,Afghanistan
R Ashwin,4,0,29,1,7.25,29,24,Dubai (DSC),5 Nov 2021,N/A,N/A,N/A,N/A,T20I,Scotland
R Ashwin,4,0,20,3,5,6.66,8,Dubai (DSC),8 Nov 2021,N/A,N/A,N/A,N/A,T20I,Namibia
R Ashwin,4,0,23,2,5.75,11.5,12,Jaipur,17 Nov 2021,65.6,42.1,6.9,Partially cloudy,T20I,New Zealand
R Ashwin,4,0,19,1,4.75,19,24,Ranchi,19 Nov 2021,70.3,74.4,5.8,Partially cloudy,T20I,New Zealand
R Ashwin,72.3,22,117,6,1.61,19.5,72.5,Kanpur,25 Nov 2021,64.8,75.8,4.7,Clear,Test,New Zealand
R Ashwin,30.3,11,42,8,1.37,5.25,22.8,Wankhede,3 Dec 2021,N/A,N/A,N/A,N/A,Test,New Zealand
R Ashwin,22,4,55,2,2.5,27.5,66,Centurion,26 Dec 2021,75.9,66.3,8.1,Clear,Test,South Africa
R Ashwin,21.4,3,61,1,2.81,61,130,Johannesburg,3 Jan 2022,69,66.4,16,"Rain, Partially cloudy",Test,South Africa
R Ashwin,20.3,4,66,0,3.21,-,-,Cape Town,11 Jan 2022,69.5,74.3,20.8,Partially cloudy,Test,South Africa
R Ashwin,10,0,53,1,5.3,53,60,Paarl,19 Jan 2022,68.8,61.1,20.8,Partially cloudy,ODI,South Africa
R Ashwin,10,1,68,0,6.8,-,-,Paarl,21 Jan 2022,74.6,59.7,16.1,Clear,ODI,South Africa
R Ashwin,41,12,96,6,2.34,16,41,Mohali,4 Mar 2022,64.1,65.1,8.1,Partially cloudy,Test,Sri Lanka
R Ashwin,28.2,4,85,6,3,14.16,28.3,Bengaluru,12 Mar 2022,77.9,39.1,13.8,Clear,Test,Sri Lanka
R Ashwin,4,0,22,2,5.5,11,12,Tarouba,29 Jul 2022,71.2,73.6,15.3,Partially cloudy,T20I,West Indies
R Ashwin,4,0,32,1,8,32,24,Basseterre,1 Aug 2022,84,79.3,21.9,"Rain, Partially cloudy",T20I,West Indies
R Ashwin,4,0,26,0,6.5,-,-,Basseterre,2 Aug 2022,83.6,77.4,17.2,Partially cloudy,T20I,West Indies
R Ashwin,4,0,32,1,8,32,24,Dubai (DSC),6 Sep 2022,N/A,N/A,N/A,N/A,T20I,Sri Lanka
R Ashwin,4,0,27,1,6.75,27,24,Dubai (DSC),8 Sep 2022,N/A,N/A,N/A,N/A,T20I,Afghanistan
R Ashwin,4,1,8,0,2,-,-,Thiruvananthapuram,28 Sep 2022,82.8,75,11.4,Partially cloudy,T20I,South Africa
R Ashwin,4,0,37,0,9.25,-,-,Guwahati,2 Oct 2022,84.5,87.8,4.6,"Rain, Partially cloudy",T20I,South Africa
R Ashwin,4,0,35,0,8.75,-,-,Indore,4 Oct 2022,79.6,63,10.3,Partially cloudy,T20I,South Africa
R Ashwin,3,0,23,0,7.66,-,-,Melbourne,23 Oct 2022,60.9,79.8,11.5,"Rain, Overcast",T20I,Pakistan
R Ashwin,4,0,21,2,5.25,10.5,12,Sydney,27 Oct 2022,70.6,57.3,13.7,"Rain, Partially cloudy",T20I,Netherlands
R Ashwin,4,0,43,1,10.75,43,24,Perth,30 Oct 2022,55.6,61.3,16.6,"Rain, Partially cloudy",T20I,South Africa
R Ashwin,2,0,19,0,9.5,-,-,Adelaide,2 Nov 2022,53,73,17.8,"Rain, Partially cloudy",T20I,Bangladesh
R Ashwin,4,0,22,3,5.5,7.33,8,Melbourne,6 Nov 2022,66.7,62.3,9.3,"Rain, Partially cloudy",T20I,Zimbabwe
R Ashwin,2,0,27,0,13.5,-,-,Adelaide,10 Nov 2022,63.7,82.7,12.5,"Rain, Partially cloudy",T20I,England
R Ashwin,37,4,109,1,2.94,109,222,Chattogram,14 Dec 2022,68.5,74.7,6.3,Clear,Test,Bangladesh
R Ashwin,43.5,5,137,6,3.12,22.83,43.8,Mirpur,22 Dec 2022,67.5,57.3,6.9,Clear,Test,Bangladesh
R Ashwin,27.5,5,79,8,2.83,9.87,20.8,Nagpur,9 Feb 2023,71.6,46.1,4.7,Clear,Test,Australia
R Ashwin,37,7,116,6,3.13,19.33,37,Delhi,17 Feb 2023,70,72.5,6.3,Partially cloudy,Test,Australia
R Ashwin,30.2,7,88,4,2.9,22,45.5,Indore,1 Mar 2023,78.1,34.3,6.9,Partially cloudy,Test,Australia
R Ashwin,71.2,24,149,7,2.08,21.28,61.1,Ahmedabad,9 Mar 2023,80,35,6.9,Clear,Test,Australia
R Ashwin,46,13,131,12,2.84,10.91,23,Roseau,12 Jul 2023,79.4,75.7,31.5,"Rain, Partially cloudy",Test,West Indies
R Ashwin,44,12,94,3,2.13,31.33,88,Port of Spain,20 Jul 2023,82,84.4,12.8,Partially cloudy,Test,West Indies
R Ashwin,10,0,47,1,4.7,47,60,Mohali,22 Sep 2023,83.6,67,8.7,"Rain, Partially cloudy",ODI,Australia
R Ashwin,7,0,41,3,5.85,13.66,14,Indore,24 Sep 2023,79.1,82.9,8.1,Partially cloudy,ODI,Australia
R Ashwin,10,1,34,1,3.4,34,60,Chennai,8 Oct 2023,84.8,86.2,8.7,Partially cloudy,ODI,Australia
TA Boult,25,5,80,4,3.2,20,37.5,Hobart,9 Dec 2011,65.9,74.7,13.9,"Rain, Partially cloudy",Test,Australia
TA Boult,18,7,39,2,2.16,19.5,54,Napier,26 Jan 2012,65.7,66.8,19.7,Clear,Test,Zimbabwe
TA Boult,34,4,151,2,4.44,75.5,102,Dunedin,7 Mar 2012,51.8,81,21.7,"Rain, Partially cloudy",Test,South Africa
TA Boult,8.3,0,45,2,5.29,22.5,25.5,Basseterre,11 Jul 2012,82.7,75.9,19.9,"Rain, Partially cloudy",ODI,West Indies
TA Boult,10,2,47,1,4.7,47,60,Basseterre,14 Jul 2012,83,78.5,19.2,"Rain, Partially cloudy",ODI,West Indies
TA Boult,8,0,29,0,3.62,-,-,Basseterre,16 Jul 2012,83.5,76.6,16.3,"Rain, Partially cloudy",ODI,West Indies
TA Boult,29,3,104,4,3.58,26,43.5,Kingston,2 Aug 2012,84.1,76.4,21.9,Partially cloudy,Test,West Indies
TA Boult,27,4,93,3,3.44,31,54,Hyderabad,23 Aug 2012,82.3,63,11.4,"Rain, Partially cloudy",Test,India
TA Boult,39.5,6,154,2,3.86,77,119.5,Bengaluru,31 Aug 2012,72.7,77.9,18.3,"Rain, Partially cloudy",Test,India
TA Boult,6,0,26,1,4.33,26,36,Pallekele,4 Nov 2012,81.4,80,6.9,Partially cloudy,ODI,Sri Lanka
TA Boult,5,0,29,0,5.8,-,-,Pallekele,6 Nov 2012,80.1,76.7,8.1,"Rain, Partially cloudy",ODI,Sri Lanka
TA Boult,7,0,32,1,4.57,32,42,Hambantota,10 Nov 2012,79.5,85.9,6,"Rain, Partially cloudy",ODI,Sri Lanka
TA Boult,5,0,23,1,4.6,23,30,Hambantota,12 Nov 2012,79.4,85.2,9.2,"Rain, Partially cloudy",ODI,Sri Lanka
TA Boult,20.2,4,61,2,3,30.5,61,Galle,17 Nov 2012,35.4,83,12.8,Partially cloudy,Test,Sri Lanka
TA Boult,38.5,13,75,7,1.93,10.71,33.2,Colombo (PSS),25 Nov 2012,N/A,N/A,N/A,N/A,Test,Sri Lanka
TA Boult,21,2,78,3,3.71,26,42,Cape Town,2 Jan 2013,70.2,57.9,21.9,Clear,Test,South Africa
TA Boult,32,5,108,1,3.37,108,192,Gqeberha,11 Jan 2013,64.1,64,18.3,Partially cloudy,Test,South Africa
TA Boult,4,0,40,2,10,20,12,Auckland,9 Feb 2013,66.1,74.3,15,Partially cloudy,T20I,England
TA Boult,4,0,40,0,10,-,-,Hamilton,12 Feb 2013,33.1,71.7,12,"Snow, Rain, Overcast",T20I,England
TA Boult,2,0,20,0,10,-,-,Wellington,15 Feb 2013,62.1,79.1,15,Partially cloudy,T20I,England
TA Boult,9,1,55,0,6.11,-,-,Napier,20 Feb 2013,64.8,74.3,18.8,Partially cloudy,ODI,England
TA Boult,50,16,81,2,1.62,40.5,150,Dunedin,6 Mar 2013,53.9,82.7,25.1,"Rain, Partially cloudy",Test,England
TA Boult,30,4,117,2,3.9,58.5,90,Wellington,14 Mar 2013,61.9,79.1,23,Partially cloudy,Test,England
TA Boult,54,22,123,7,2.27,17.57,46.2,Auckland,22 Mar 2013,62.7,76.2,10.3,Partially cloudy,Test,England
TA Boult,42,13,104,3,2.47,34.66,84,Lord's,16 May 2013,49.9,72.5,21.7,"Rain, Partially cloudy",Test,England
TA Boult,24,5,59,5,2.45,11.8,28.8,Leeds,24 May 2013,42.4,83.5,26.3,"Rain, Partially cloudy",Test,England
TA Boult,28,10,59,2,2.1,29.5,84,Chattogram,9 Oct 2013,77.5,87.4,8.1,"Rain, Partially cloudy",Test,Bangladesh
TA Boult,32,4,117,1,3.65,117,192,Mirpur,21 Oct 2013,79.1,87.2,4.9,"Rain, Partially cloudy",Test,Bangladesh
TA Boult,53,16,121,5,2.28,24.2,63.6,Dunedin,3 Dec 2013,51.3,88.1,13.6,Partially cloudy,Test,West Indies
TA Boult,27.5,7,80,10,2.87,8,16.7,Wellington,11 Dec 2013,63,75.5,25.3,"Rain, Partially cloudy",Test,West Indies
TA Boult,36,6,107,5,2.97,21.4,43.2,Hamilton,19 Dec 2013,32.9,74.5,8.4,"Snow, Rain, Partially cloudy",Test,West Indies
TA Boult,40.3,4,124,6,3.06,20.66,40.5,Auckland,6 Feb 2014,68.6,71.6,20.2,Partially cloudy,Test,India
TA Boult,42,12,146,4,3.47,36.5,63,Wellington,14 Feb 2014,63.4,78.3,19.5,Clear,Test,India
TA Boult,4,0,25,1,6.25,25,24,Chattogram,29 Mar 2014,85,68.4,14.3,Clear,T20I,Netherlands
TA Boult,4,0,20,3,5,6.66,8,Chattogram,31 Mar 2014,85.8,70.6,11.9,Clear,T20I,Sri Lanka
TA Boult,29,6,96,1,3.31,96,174,Kingston,8 Jun 2014,84.2,72.7,23,Partially cloudy,Test,West Indies
TA Boult,33,6,102,3,3.09,34,66,Port of Spain,16 Jun 2014,82.6,76.3,18.3,"Rain, Partially cloudy",Test,West Indies
TA Boult,39.2,6,119,5,3.02,23.8,47.2,Bridgetown,26 Jun 2014,82.9,73.1,24.2,"Rain, Partially cloudy",Test,West Indies
TA Boult,4,0,28,2,7,14,12,Roseau,5 Jul 2014,80.6,79.2,20.8,"Rain, Partially cloudy",T20I,West Indies
TA Boult,4,1,22,2,5.5,11,12,Roseau,6 Jul 2014,83.2,68.5,19.7,"Rain, Partially cloudy",T20I,West Indies
TA Boult,10,2,40,2,4,20,30,Mount Maunganui,21 Oct 2014,56.1,73.6,13.9,Partially cloudy,ODI,South Africa
TA Boult,10,0,70,2,7,35,30,Mount Maunganui,24 Oct 2014,56.4,66.1,20.8,Rain,ODI,South Africa
TA Boult,33,9,87,0,2.63,-,-,Abu Dhabi,9 Nov 2014,76.2,43.2,15.4,Clear,Test,Pakistan
TA Boult,40,14,81,4,2.02,20.25,60,Dubai (DSC),17 Nov 2014,N/A,N/A,N/A,N/A,Test,Pakistan
TA Boult,36,12,92,4,2.55,23,54,Sharjah,26 Nov 2014,79.4,61.4,12.1,Clear,Test,Pakistan
TA Boult,50,12,125,7,2.5,17.85,42.8,Christchurch,26 Dec 2014,62.7,81.7,15.4,Partially cloudy,Test,Sri Lanka
TA Boult,45,5,130,4,2.88,32.5,67.5,Wellington,3 Jan 2015,61.7,79.9,20.6,Partially cloudy,Test,Sri Lanka
TA Boult,10,1,46,0,4.6,-,-,Christchurch,11 Jan 2015,66.7,60.8,8.7,Clear,ODI,Sri Lanka
TA Boult,10,1,52,0,5.2,-,-,Hamilton,15 Jan 2015,17.2,75.1,12,Partially cloudy,ODI,Sri Lanka
TA Boult,10,0,44,4,4.4,11,15,Dunedin,23 Jan 2015,56.4,85,13.2,Partially cloudy,ODI,Sri Lanka
TA Boult,8,2,31,1,3.87,31,48,Dunedin,25 Jan 2015,59.7,86.7,28.4,Partially cloudy,ODI,Sri Lanka
TA Boult,9,0,25,2,2.77,12.5,27,Wellington,31 Jan 2015,64.2,88.5,16.1,"Rain, Partially cloudy",ODI,Pakistan
TA Boult,8.1,0,35,1,4.28,35,49,Napier,3 Feb 2015,72,59.4,28.4,Clear,ODI,Pakistan
TA Boult,10,0,64,2,6.4,32,30,Christchurch,14 Feb 2015,53.5,69.6,15,Overcast,ODI,Sri Lanka
TA Boult,6,1,21,2,3.5,10.5,18,Dunedin,17 Feb 2015,57.3,84.7,13.4,Partially cloudy,ODI,Scotland
TA Boult,10,2,32,1,3.2,32,60,Wellington,20 Feb 2015,63.1,80.6,12.7,Partially cloudy,ODI,England
TA Boult,10,3,27,5,2.7,5.4,12,Auckland,28 Feb 2015,67.7,76.9,13.9,Clear,ODI,Australia
TA Boult,10,2,34,3,3.4,11.33,20,Napier,8 Mar 2015,66.9,59.3,25.5,Rain,ODI,Afghanistan
TA Boult,10,3,56,2,5.6,28,30,Hamilton,13 Mar 2015,31.1,67.8,7.2,Partially cloudy,ODI,Bangladesh
TA Boult,10,3,44,4,4.4,11,15,Wellington,21 Mar 2015,58.7,71.9,25.6,Partially cloudy,ODI,West Indies
TA Boult,9,0,53,2,5.88,26.5,27,Auckland,24 Mar 2015,64.1,82.3,12.8,"Rain, Partially cloudy",ODI,South Africa
TA Boult,10,0,40,1,4,40,60,Melbourne,29 Mar 2015,59.4,67.6,13.4,Clear,ODI,Australia
TA Boult,63,14,164,9,2.6,18.22,42,Lord's,21 May 2015,48.8,91.2,27.7,"Rain, Partially cloudy",Test,England
TA Boult,53,11,159,4,3,39.75,79.5,Leeds,29 May 2015,45.9,80.9,27.4,"Rain, Partially cloudy",Test,England
TA Boult,10,0,55,4,5.5,13.75,15,Birmingham,9 Jun 2015,50.3,65.7,13.7,"Rain, Partially cloudy",ODI,England
TA Boult,10,1,53,2,5.3,26.5,30,The Oval,12 Jun 2015,60.8,76.3,14.2,"Rain, Partially cloudy",ODI,England
TA Boult,37,3,188,2,5.08,94,111,Brisbane,5 Nov 2015,75.3,76.9,16.9,"Rain, Partially cloudy",Test,Australia
TA Boult,45,4,200,4,4.44,50,67.5,Perth,13 Nov 2015,80.4,39.9,22.7,Clear,Test,Australia
TA Boult,33,8,101,7,3.06,14.42,28.2,Adelaide,27 Nov 2015,56.6,57,16.1,Partially cloudy,Test,Australia
TA Boult,37,9,110,4,2.97,27.5,55.5,Dunedin,10 Dec 2015,56.4,79.7,22.8,"Rain, Partially cloudy",Test,Sri Lanka
TA Boult,27,3,81,2,3,40.5,81,Hamilton,18 Dec 2015,34.8,59.2,13.1,Partially cloudy,Test,Sri Lanka
TA Boult,8.1,0,43,3,5.26,14.33,16.3,Mount Maunganui,5 Jan 2016,59,59.7,10.3,Partially cloudy,ODI,Sri Lanka
TA Boult,4,0,21,3,5.25,7,8,Mount Maunganui,7 Jan 2016,62.6,67.7,10.3,Partially cloudy,T20I,Sri Lanka
TA Boult,4,0,36,0,9,-,-,Auckland,10 Jan 2016,66.1,76.3,19.1,Overcast,T20I,Sri Lanka
TA Boult,4,0,42,1,10.5,42,24,Auckland,15 Jan 2016,68,76.1,13.8,Partially cloudy,T20I,Pakistan
TA Boult,3,0,32,1,10.66,32,18,Wellington,22 Jan 2016,65.6,78.3,32.2,Overcast,T20I,Pakistan
TA Boult,9,1,40,4,4.44,10,13.5,Wellington,25 Jan 2016,69.4,80.9,25.3,Partially cloudy,ODI,Pakistan
TA Boult,9,0,60,2,6.66,30,27,Auckland,31 Jan 2016,72.2,81.5,15.2,"Rain, Partially cloudy",ODI,Pakistan
TA Boult,7,0,38,3,5.42,12.66,14,Auckland,3 Feb 2016,71.8,77.5,17.7,Partially cloudy,ODI,Australia
TA Boult,9.3,0,66,1,6.94,66,57,Wellington,6 Feb 2016,62.7,84.7,21.9,Overcast,ODI,Australia
TA Boult,33,6,101,2,3.06,50.5,99,Wellington,12 Feb 2016,68.3,70.3,21.9,Partially cloudy,Test,Australia
TA Boult,48,6,168,3,3.5,56,96,Christchurch,20 Feb 2016,69,54.2,17.2,Rain,Test,Australia
TA Boult,28,8,75,4,2.67,18.75,42,Bulawayo,28 Jul 2016,62.2,23.3,12.8,Clear,Test,Zimbabwe
TA Boult,39,17,71,2,1.82,35.5,117,Bulawayo,6 Aug 2016,58.5,38.5,15,Clear,Test,Zimbabwe
TA Boult,21.4,5,52,3,2.4,17.33,43.3,Durban,19 Aug 2016,67,76.2,9.2,Partially cloudy,Test,South Africa
TA Boult,49.4,10,151,2,3.04,75.5,149,Centurion,27 Aug 2016,68.8,82.9,12.7,"Rain, Overcast",Test,South Africa
TA Boult,29,3,101,3,3.48,33.66,58,Kanpur,22 Sep 2016,83.2,87,6.9,Partially cloudy,Test,India
TA Boult,38.4,15,84,5,2.17,16.8,46.4,Eden Gardens,30 Sep 2016,81.4,81.8,15,Partially cloudy,Test,India
TA Boult,39,2,148,2,3.79,74,117,Indore,8 Oct 2016,78.6,83.9,7.8,"Rain, Partially cloudy",Test,India
TA Boult,10,2,25,2,2.5,12.5,30,Delhi,20 Oct 2016,79.8,49.5,12.1,Clear,ODI,India
TA Boult,10,0,73,0,7.3,-,-,Mohali,23 Oct 2016,73.7,42.9,14.8,Clear,ODI,India
TA Boult,9.4,1,48,2,4.96,24,29,Ranchi,26 Oct 2016,71.6,59.4,7.4,Clear,ODI,India
TA Boult,10,0,52,2,5.2,26,30,Visakhapatnam,29 Oct 2016,83.5,77.2,11.4,Partially cloudy,ODI,India
TA Boult,33,10,76,5,2.3,15.2,39.6,Christchurch,17 Nov 2016,50.7,83.7,32.2,"Rain, Partially cloudy",Test,Pakistan
TA Boult,10,1,51,2,5.1,25.5,30,Sydney,4 Dec 2016,73.8,69,19,Partially cloudy,ODI,Australia
TA Boult,10,0,80,1,8,80,60,Canberra,6 Dec 2016,66.3,78.8,16.5,"Rain, Overcast",ODI,Australia
TA Boult,10,1,49,3,4.9,16.33,20,Melbourne,9 Dec 2016,56.2,64.9,12.8,"Rain, Partially cloudy",ODI,Australia
TA Boult,9,0,43,0,4.77,-,-,Christchurch,26 Dec 2016,57.8,79.9,17.2,Partially cloudy,ODI,Bangladesh
TA Boult,8.4,0,26,2,3,13,26,Nelson,29 Dec 2016,37.5,83.1,11.2,"Rain, Partially cloudy",ODI,Bangladesh
TA Boult,3,0,28,1,9.33,28,18,Mount Maunganui,6 Jan 2017,59.6,67.2,16.1,Partially cloudy,T20I,Bangladesh
TA Boult,4,0,48,2,12,24,12,Mount Maunganui,8 Jan 2017,61.4,62,24.2,Partially cloudy,T20I,Bangladesh
TA Boult,47.5,8,184,5,3.84,36.8,57.4,Wellington,12 Jan 2017,65.3,83,30.7,Partially cloudy,Test,Bangladesh
TA Boult,41,7,139,7,3.39,19.85,35.1,Christchurch,20 Jan 2017,54,63.6,20.2,Partially cloudy,Test,Bangladesh
TA Boult,9,0,58,2,6.44,29,27,Auckland,30 Jan 2017,66.6,73.3,17.1,Partially cloudy,ODI,Australia
TA Boult,10,1,33,6,3.3,5.5,10,Hamilton,5 Feb 2017,30.4,75.7,10.4,"Snow, Rain, Partially cloudy",ODI,Australia
TA Boult,4,0,8,2,2,4,12,Auckland,17 Feb 2017,67.2,92.6,14.1,"Rain, Partially cloudy",T20I,South Africa
TA Boult,7,0,45,1,6.42,45,42,Hamilton,19 Feb 2017,44.7,74.8,11.5,Partially cloudy,ODI,South Africa
TA Boult,10,0,63,3,6.3,21,20,Christchurch,22 Feb 2017,63.9,81.9,20.9,"Rain, Partially cloudy",ODI,South Africa
TA Boult,10,0,47,1,4.7,47,60,Wellington,25 Feb 2017,64.4,72.6,24,Partially cloudy,ODI,South Africa
TA Boult,10,0,70,1,7,70,60,Hamilton,1 Mar 2017,50.8,88.7,21.2,"Rain, Partially cloudy",ODI,South Africa
TA Boult,9.2,0,44,0,4.71,-,-,Auckland,4 Mar 2017,69,74.7,17.2,Partially cloudy,ODI,South Africa
TA Boult,47.4,16,98,5,2.05,19.6,57.2,Dunedin,8 Mar 2017,50.2,78.1,17.2,Clear,Test,South Africa
TA Boult,4,0,28,1,7,28,24,Birmingham,2 Jun 2017,61.7,84.9,9.9,"Rain, Partially cloudy",ODI,Australia
TA Boult,10,0,56,1,5.6,56,60,Cardiff,6 Jun 2017,54.5,80.5,30.7,"Rain, Partially cloudy",ODI,England
TA Boult,10,0,48,1,4.8,48,60,Cardiff,9 Jun 2017,57.3,85.5,18.9,"Rain, Partially cloudy",ODI,Bangladesh
TA Boult,10,1,35,4,3.5,8.75,15,Wankhede,22 Oct 2017,N/A,N/A,N/A,N/A,ODI,India
TA Boult,10,0,54,0,5.4,-,-,Pune,25 Oct 2017,71.9,69.1,9.6,Partially cloudy,ODI,India
TA Boult,10,0,81,0,8.1,-,-,Kanpur,29 Oct 2017,77.8,63.5,6,Clear,ODI,India
TA Boult,4,0,49,1,12.25,49,24,Delhi,1 Nov 2017,75.4,63.5,6.9,Clear,T20I,India
TA Boult,4,0,34,4,8.5,8.5,6,Rajkot,4 Nov 2017,79.1,39.1,12.8,Clear,T20I,India
TA Boult,2,0,13,1,6.5,13,12,Thiruvananthapuram,7 Nov 2017,79.2,89.7,9.2,"Rain, Partially cloudy",T20I,India
TA Boult,39,13,123,4,3.15,30.75,58.5,Wellington,1 Dec 2017,66.9,72.4,20.6,Clear,Test,West Indies
TA Boult,36.5,6,125,6,3.39,20.83,36.8,Hamilton,9 Dec 2017,29.5,66.1,14.4,Partially cloudy,Test,West Indies
TA Boult,10,2,48,0,4.8,-,-,Whangarei,20 Dec 2017,67.4,70.9,29.1,"Rain, Partially cloudy",ODI,West Indies
TA Boult,10,3,34,7,3.4,4.85,8.5,Christchurch,23 Dec 2017,62.7,77.1,27,Partially cloudy,ODI,West Indies
TA Boult,5,0,18,3,3.6,6,10,Christchurch,26 Dec 2017,55,78.6,16.8,"Rain, Partially cloudy",ODI,West Indies
TA Boult,4,0,29,2,7.25,14.5,12,Mount Maunganui,3 Jan 2018,66.7,88.6,11.4,"Rain, Partially cloudy",T20I,West Indies
TA Boult,6,1,35,2,5.83,17.5,18,Wellington,6 Jan 2018,60.2,74.2,34.4,"Rain, Partially cloudy",ODI,Pakistan
TA Boult,10,0,54,1,5.4,54,60,Nelson,9 Jan 2018,34.9,97.1,12.1,"Snow, Rain, Overcast",ODI,Pakistan
TA Boult,7.2,1,17,5,2.31,3.4,8.8,Dunedin,13 Jan 2018,59.4,83.9,27.1,"Rain, Partially cloudy",ODI,Pakistan
TA Boult,10,0,73,1,7.3,73,60,Hamilton,16 Jan 2018,20.2,89.9,8.2,"Snow, Partially cloudy",ODI,Pakistan
TA Boult,4,0,37,0,9.25,-,-,Auckland,25 Jan 2018,73.3,81.3,13.9,Partially cloudy,T20I,Pakistan
TA Boult,4,0,33,1,8.25,33,24,Mount Maunganui,28 Jan 2018,73,71.8,11.4,Rain,T20I,Pakistan
TA Boult,3,0,14,2,4.66,7,9,Sydney,3 Feb 2018,68.6,70.8,19.4,"Rain, Partially cloudy",T20I,Australia
TA Boult,4,0,46,2,11.5,23,12,Wellington,13 Feb 2018,71.8,71.1,24.2,Rain,T20I,England
TA Boult,3.5,0,42,1,10.95,42,23,Auckland,16 Feb 2018,71.3,80.2,10.3,Clear,T20I,Australia
TA Boult,4,0,50,3,12.5,16.66,8,Hamilton,18 Feb 2018,31.8,72.7,9.3,Partially cloudy,T20I,England
TA Boult,3,0,27,0,9,-,-,Auckland,21 Feb 2018,69.3,75.4,20.8,"Rain, Partially cloudy",T20I,Australia
TA Boult,10,0,64,2,6.4,32,30,Hamilton,25 Feb 2018,41.5,78.8,15.4,"Snow, Rain, Partially cloudy",ODI,England
TA Boult,8,1,46,2,5.75,23,24,Mount Maunganui,28 Feb 2018,65.5,76.5,13.9,"Rain, Partially cloudy",ODI,England
TA Boult,10,1,47,2,4.7,23.5,30,Wellington,3 Mar 2018,70.9,70.5,13.9,"Rain, Partially cloudy",ODI,England
TA Boult,10,0,56,2,5.6,28,30,Dunedin,7 Mar 2018,54.9,78,17.7,Partially cloudy,ODI,England
TA Boult,6,0,50,1,8.33,50,36,Christchurch,10 Mar 2018,55.1,74.8,10.3,Partially cloudy,ODI,England
